league,season,date,team,h_a,result,pts,goals_scored,goals_missed,deep_passes,deep_passes_allowed,ppda,oppda
Bundesliga,2014,2014-08-22 19:30:00,Bayern Munich,h,w,3,2,1,5,4,9.625,21.85
Bundesliga,2014,2014-08-30 17:30:00,Bayern Munich,a,d,1,1,1,10,1,4.7560975609756095,17.695652173913043
Bundesliga,2014,2014-09-13 14:30:00,Bayern Munich,h,w,3,2,0,13,3,5.0606060606060606,16.96153846153846
Bundesliga,2014,2014-09-20 14:30:00,Bayern Munich,a,d,1,0,0,6,2,4.423076923076923,9.4468085106383
Bundesliga,2014,2014-09-23 19:00:00,Bayern Munich,h,w,3,4,0,23,2,4.25,44.8
Bundesliga,2014,2014-09-27 14:30:00,Bayern Munich,a,w,3,2,0,27,0,5.44,44.09090909090909
Bundesliga,2014,2014-10-04 14:30:00,Bayern Munich,h,w,3,4,0,14,5,11.0,52.375
Bundesliga,2014,2014-10-18 14:30:00,Bayern Munich,h,w,3,6,0,16,0,3.633333333333333,28.8
Bundesliga,2014,2014-10-26 16:30:00,Bayern Munich,a,d,1,0,0,5,7,6.3,26.857142857142858
Bundesliga,2014,2014-11-01 17:30:00,Bayern Munich,h,w,3,2,1,11,3,6.193548387096774,13.4
Bundesliga,2014,2014-11-08 14:30:00,Bayern Munich,a,w,3,4,0,13,1,6.12,8.326530612244898
Bundesliga,2014,2014-11-22 14:30:00,Bayern Munich,h,w,3,4,0,12,6,5.88,9.0
Bundesliga,2014,2014-11-29 14:30:00,Bayern Munich,a,w,3,1,0,19,1,4.269230769230769,20.6
Bundesliga,2014,2014-12-06 17:30:00,Bayern Munich,h,w,3,1,0,3,1,7.181818181818182,11.71875
Bundesliga,2014,2014-12-13 14:30:00,Bayern Munich,a,w,3,4,0,13,0,5.652173913043479,14.90625
Bundesliga,2014,2014-12-16 19:00:00,Bayern Munich,h,w,3,2,0,32,1,3.851851851851852,91.8
Bundesliga,2014,2014-12-19 19:30:00,Bayern Munich,a,w,3,2,1,7,1,4.2105263157894735,18.90909090909091
Bundesliga,2014,2015-01-30 19:30:00,Bayern Munich,a,l,0,1,4,12,3,4.878787878787879,13.8
Bundesliga,2014,2015-02-03 19:00:00,Bayern Munich,h,d,1,1,1,5,1,9.954545454545457,12.666666666666666
Bundesliga,2014,2015-02-07 14:30:00,Bayern Munich,a,w,3,2,0,1,1,4.166666666666667,25.90909090909091
Bundesliga,2014,2015-02-14 14:30:00,Bayern Munich,h,w,3,8,0,11,0,7.458333333333333,25.545454545454547
Bundesliga,2014,2015-02-21 14:30:00,Bayern Munich,a,w,3,6,0,15,1,4.181818181818182,33.53333333333333
Bundesliga,2014,2015-02-27 19:30:00,Bayern Munich,h,w,3,4,1,19,1,6.111111111111111,44.3
Bundesliga,2014,2015-03-07 14:30:00,Bayern Munich,a,w,3,3,1,3,0,4.095238095238095,40.45454545454545
Bundesliga,2014,2015-03-14 14:30:00,Bayern Munich,a,w,3,4,0,10,3,4.727272727272728,12.294117647058824
Bundesliga,2014,2015-03-22 16:30:00,Bayern Munich,h,l,0,0,2,13,3,7.181818181818182,47.3
Bundesliga,2014,2015-04-04 17:30:00,Bayern Munich,a,w,3,1,0,3,8,7.617647058823529,6.875
Bundesliga,2014,2015-04-11 14:30:00,Bayern Munich,h,w,3,3,0,19,1,8.78125,21.545454545454547
Bundesliga,2014,2015-04-18 14:30:00,Bayern Munich,a,w,3,2,0,14,3,4.888888888888889,15.153846153846152
Bundesliga,2014,2015-04-25 17:30:00,Bayern Munich,h,w,3,1,0,8,2,3.625,20.0
Bundesliga,2014,2015-05-02 17:30:00,Bayern Munich,a,l,0,0,2,1,8,4.875,5.061538461538461
Bundesliga,2014,2015-05-09 14:30:00,Bayern Munich,h,l,0,0,1,11,5,4.870967741935484,23.058823529411764
Bundesliga,2014,2015-05-16 14:30:00,Bayern Munich,a,l,0,1,2,4,3,4.428571428571429,25.0
Bundesliga,2014,2015-05-23 14:30:00,Bayern Munich,h,w,3,2,0,10,2,6.2,26.73684210526316
Bundesliga,2014,2014-08-23 14:30:00,Hamburger SV,a,d,1,0,0,2,4,7.068965517241379,13.08
Bundesliga,2014,2014-08-30 14:30:00,Hamburger SV,h,l,0,0,3,5,2,3.8285714285714287,9.82857142857143
Bundesliga,2014,2014-09-14 16:30:00,Hamburger SV,a,l,0,0,2,9,9,6.228571428571429,5.081081081081081
Bundesliga,2014,2014-09-20 14:30:00,Hamburger SV,h,d,1,0,0,2,6,9.4468085106383,4.423076923076923
Bundesliga,2014,2014-09-24 19:00:00,Hamburger SV,a,l,0,0,1,2,4,10.35,7.533333333333333
Bundesliga,2014,2014-09-28 16:30:00,Hamburger SV,h,l,0,1,2,6,2,3.931034482758621,8.2
Bundesliga,2014,2014-10-04 14:30:00,Hamburger SV,a,w,3,1,0,4,7,7.333333333333333,4.142857142857143
Bundesliga,2014,2014-10-19 14:30:00,Hamburger SV,h,d,1,1,1,6,3,5.178571428571429,7.9714285714285715
Bundesliga,2014,2014-10-25 14:30:00,Hamburger SV,a,l,0,0,3,5,6,3.0,8.413793103448276
Bundesliga,2014,2014-11-01 14:30:00,Hamburger SV,h,w,3,1,0,2,2,3.75,3.4
Bundesliga,2014,2014-11-09 14:30:00,Hamburger SV,a,l,0,0,2,3,4,8.709677419354838,11.681818181818182
Bundesliga,2014,2014-11-23 14:30:00,Hamburger SV,h,w,3,2,0,6,2,4.0,10.357142857142858
Bundesliga,2014,2014-11-29 14:30:00,Hamburger SV,a,l,0,1,3,9,0,4.261904761904762,5.882352941176471
Bundesliga,2014,2014-12-07 14:30:00,Hamburger SV,h,w,3,2,1,8,5,5.775,3.2333333333333334
Bundesliga,2014,2014-12-13 14:30:00,Hamburger SV,a,d,1,0,0,4,7,7.444444444444445,7.555555555555555
Bundesliga,2014,2014-12-16 19:00:00,Hamburger SV,h,l,0,0,1,8,9,5.15625,12.5
Bundesliga,2014,2014-12-20 14:30:00,Hamburger SV,a,d,1,0,0,2,2,11.653846153846152,7.34375
Bundesliga,2014,2015-01-31 14:30:00,Hamburger SV,h,l,0,0,2,5,9,12.826086956521738,13.333333333333334
Bundesliga,2014,2015-02-04 19:00:00,Hamburger SV,a,w,3,3,0,5,8,9.84375,4.5
Bundesliga,2014,2015-02-07 17:30:00,Hamburger SV,h,w,3,2,1,2,7,10.945945945945946,6.315789473684211
Bundesliga,2014,2015-02-14 14:30:00,Hamburger SV,a,l,0,0,8,0,11,25.545454545454547,7.458333333333333
Bundesliga,2014,2015-02-22 14:30:00,Hamburger SV,h,d,1,1,1,8,8,16.047619047619047,10.434782608695652
Bundesliga,2014,2015-02-28 17:30:00,Hamburger SV,a,l,0,1,2,1,7,9.19047619047619,4.885714285714286
Bundesliga,2014,2015-03-07 14:30:00,Hamburger SV,h,d,1,0,0,2,7,10.73076923076923,2.7096774193548385
Bundesliga,2014,2015-03-14 14:30:00,Hamburger SV,a,l,0,0,3,3,11,15.05,3.6486486486486487
Bundesliga,2014,2015-03-20 19:30:00,Hamburger SV,h,l,0,0,1,6,3,4.088235294117647,8.363636363636363
Bundesliga,2014,2015-04-04 14:30:00,Hamburger SV,a,l,0,0,4,2,9,10.0,5.575
Bundesliga,2014,2015-04-11 17:30:00,Hamburger SV,h,l,0,0,2,0,2,7.413793103448276,6.742857142857143
Bundesliga,2014,2015-04-19 14:30:00,Hamburger SV,a,l,0,0,1,4,3,6.28125,4.212121212121212
Bundesliga,2014,2015-04-25 14:30:00,Hamburger SV,h,w,3,3,2,5,3,12.074074074074074,5.888888888888889
Bundesliga,2014,2015-05-03 14:30:00,Hamburger SV,a,w,3,2,1,1,7,12.48,6.521739130434782
Bundesliga,2014,2015-05-08 19:30:00,Hamburger SV,h,d,1,1,1,3,9,4.382352941176471,10.708333333333334
Bundesliga,2014,2015-05-16 14:30:00,Hamburger SV,a,l,0,1,2,4,2,5.714285714285714,7.625
Bundesliga,2014,2015-05-23 14:30:00,Hamburger SV,h,w,3,2,0,4,5,6.0606060606060606,9.25925925925926
Bundesliga,2014,2014-08-23 17:30:00,Bayer Leverkusen,a,w,3,2,0,5,2,5.8,3.333333333333333
Bundesliga,2014,2014-08-30 14:30:00,Bayer Leverkusen,h,w,3,4,2,8,3,3.9565217391304346,9.375
Bundesliga,2014,2014-09-12 19:30:00,Bayer Leverkusen,h,d,1,3,3,13,4,4.066666666666666,7.0
Bundesliga,2014,2014-09-21 14:30:00,Bayer Leverkusen,a,l,0,1,4,3,7,11.516129032258064,4.903225806451613
Bundesliga,2014,2014-09-24 19:00:00,Bayer Leverkusen,h,w,3,1,0,6,4,6.125,5.571428571428571
Bundesliga,2014,2014-09-27 14:30:00,Bayer Leverkusen,a,d,1,0,0,5,2,7.896551724137931,6.636363636363637
Bundesliga,2014,2014-10-04 14:30:00,Bayer Leverkusen,h,d,1,2,2,11,1,2.7551020408163267,7.352941176470588
Bundesliga,2014,2014-10-18 14:30:00,Bayer Leverkusen,a,d,1,3,3,4,3,8.363636363636363,5.451612903225806
Bundesliga,2014,2014-10-25 17:30:00,Bayer Leverkusen,h,w,3,1,0,11,2,8.115384615384615,9.857142857142858
Bundesliga,2014,2014-11-01 14:30:00,Bayer Leverkusen,a,l,0,0,1,2,2,3.4,3.75
Bundesliga,2014,2014-11-08 14:30:00,Bayer Leverkusen,h,d,1,0,0,11,2,8.863636363636363,5.166666666666667
Bundesliga,2014,2014-11-22 14:30:00,Bayer Leverkusen,a,w,3,3,1,9,4,4.142857142857143,4.6923076923076925
Bundesliga,2014,2014-11-29 14:30:00,Bayer Leverkusen,h,w,3,5,1,7,1,4.885714285714286,24.916666666666668
Bundesliga,2014,2014-12-06 17:30:00,Bayer Leverkusen,a,l,0,0,1,1,3,11.71875,7.181818181818182
Bundesliga,2014,2014-12-14 14:30:00,Bayer Leverkusen,h,d,1,1,1,13,2,6.454545454545454,12.157894736842104
Bundesliga,2014,2014-12-17 19:00:00,Bayer Leverkusen,a,w,3,1,0,13,4,3.931034482758621,4.333333333333333
Bundesliga,2014,2014-12-20 14:30:00,Bayer Leverkusen,h,d,1,1,1,6,4,3.864864864864865,5.892857142857143
Bundesliga,2014,2015-01-31 17:30:00,Bayer Leverkusen,h,d,1,0,0,6,0,2.41025641025641,5.487804878048781
Bundesliga,2014,2015-02-04 19:00:00,Bayer Leverkusen,a,w,3,1,0,3,0,6.517241379310345,7.666666666666667
Bundesliga,2014,2015-02-08 14:30:00,Bayer Leverkusen,a,l,0,1,2,17,3,3.1875,6.741935483870968
Bundesliga,2014,2015-02-14 14:30:00,Bayer Leverkusen,h,l,0,4,5,7,4,4.893617021276596,5.92
Bundesliga,2014,2015-02-21 14:30:00,Bayer Leverkusen,a,d,1,2,2,8,10,6.869565217391305,3.4871794871794872
Bundesliga,2014,2015-02-28 14:30:00,Bayer Leverkusen,h,w,3,1,0,8,3,6.2926829268292686,12.454545454545457
Bundesliga,2014,2015-03-08 16:30:00,Bayer Leverkusen,a,w,3,3,0,10,6,2.851063829787234,9.48
Bundesliga,2014,2015-03-13 19:30:00,Bayer Leverkusen,h,w,3,4,0,4,3,4.222222222222222,8.423076923076923
Bundesliga,2014,2015-03-21 17:30:00,Bayer Leverkusen,a,w,3,1,0,7,5,7.135135135135135,5.678571428571429
Bundesliga,2014,2015-04-04 14:30:00,Bayer Leverkusen,h,w,3,4,0,9,2,5.575,10.0
Bundesliga,2014,2015-04-11 14:30:00,Bayer Leverkusen,a,w,3,3,2,5,3,7.275,3.806451612903226
Bundesliga,2014,2015-04-18 14:30:00,Bayer Leverkusen,h,w,3,4,0,5,0,6.36,8.0
Bundesliga,2014,2015-04-25 14:30:00,Bayer Leverkusen,a,d,1,1,1,3,7,6.133333333333334,7.678571428571429
Bundesliga,2014,2015-05-02 17:30:00,Bayer Leverkusen,h,w,3,2,0,8,1,5.061538461538461,4.875
Bundesliga,2014,2015-05-09 14:30:00,Bayer Leverkusen,a,l,0,0,3,6,4,6.075,8.083333333333334
Bundesliga,2014,2015-05-16 14:30:00,Bayer Leverkusen,h,w,3,2,0,6,6,2.810810810810811,4.536585365853658
Bundesliga,2014,2015-05-23 14:30:00,Bayer Leverkusen,a,l,0,1,2,6,1,4.045454545454546,9.925925925925926
Bundesliga,2014,2014-08-23 14:30:00,Hoffenheim,h,w,3,2,0,6,2,6.588235294117647,5.739130434782608
Bundesliga,2014,2014-08-30 14:30:00,Hoffenheim,a,d,1,1,1,2,5,4.585365853658536,4.888888888888889
Bundesliga,2014,2014-09-13 14:30:00,Hoffenheim,h,d,1,1,1,10,6,6.307692307692308,12.2
Bundesliga,2014,2014-09-20 14:30:00,Hoffenheim,a,w,3,2,0,5,9,10.387096774193548,3.647058823529412
Bundesliga,2014,2014-09-23 19:00:00,Hoffenheim,h,d,1,3,3,5,3,4.228571428571429,11.26086956521739
Bundesliga,2014,2014-09-26 19:30:00,Hoffenheim,a,d,1,0,0,2,5,11.448275862068966,9.142857142857142
Bundesliga,2014,2014-10-04 14:30:00,Hoffenheim,h,w,3,2,1,9,7,9.421052631578949,11.27777777777778
Bundesliga,2014,2014-10-19 14:30:00,Hoffenheim,a,d,1,1,1,3,6,7.9714285714285715,5.178571428571429
Bundesliga,2014,2014-10-25 14:30:00,Hoffenheim,h,w,3,1,0,6,4,5.1,12.36842105263158
Bundesliga,2014,2014-11-02 14:30:00,Hoffenheim,a,l,0,1,3,5,10,8.225806451612904,10.0625
Bundesliga,2014,2014-11-08 14:30:00,Hoffenheim,h,l,0,3,4,11,2,5.730769230769231,24.066666666666663
Bundesliga,2014,2014-11-22 14:30:00,Hoffenheim,a,l,0,0,4,6,12,9.0,5.88
Bundesliga,2014,2014-11-29 17:30:00,Hoffenheim,h,w,3,4,3,7,7,6.704545454545454,3.3823529411764706
Bundesliga,2014,2014-12-05 19:30:00,Hoffenheim,a,l,0,0,1,0,9,8.214285714285714,5.878048780487805
Bundesliga,2014,2014-12-12 19:30:00,Hoffenheim,h,w,3,3,2,10,12,6.194444444444445,5.793103448275862
Bundesliga,2014,2014-12-17 19:00:00,Hoffenheim,h,l,0,0,1,4,13,4.333333333333333,3.931034482758621
Bundesliga,2014,2014-12-21 14:30:00,Hoffenheim,a,w,3,5,0,7,6,4.868421052631579,6.727272727272728
Bundesliga,2014,2015-02-01 16:30:00,Hoffenheim,a,l,0,1,3,10,2,8.416666666666666,4.958333333333333
Bundesliga,2014,2015-02-04 19:00:00,Hoffenheim,h,l,0,1,2,8,5,3.892857142857143,8.054054054054054
Bundesliga,2014,2015-02-07 14:30:00,Hoffenheim,a,l,0,0,3,6,4,7.925,6.461538461538462
Bundesliga,2014,2015-02-14 14:30:00,Hoffenheim,h,w,3,2,1,6,0,5.416666666666667,4.909090909090909
Bundesliga,2014,2015-02-21 14:30:00,Hoffenheim,a,d,1,1,1,6,2,12.916666666666666,11.166666666666666
Bundesliga,2014,2015-02-28 14:30:00,Hoffenheim,h,w,3,2,0,7,7,9.173913043478262,8.96551724137931
Bundesliga,2014,2015-03-07 14:30:00,Hoffenheim,a,l,0,1,3,7,8,7.128205128205129,4.868421052631579
Bundesliga,2014,2015-03-14 14:30:00,Hoffenheim,h,w,3,3,0,11,3,3.6486486486486487,15.05
Bundesliga,2014,2015-03-21 14:30:00,Hoffenheim,a,d,1,0,0,3,7,6.78125,7.138888888888889
Bundesliga,2014,2015-04-04 14:30:00,Hoffenheim,h,l,0,1,4,7,6,9.76595744680851,12.842105263157896
Bundesliga,2014,2015-04-12 14:30:00,Hoffenheim,a,l,0,2,3,6,5,6.608695652173913,13.956521739130435
Bundesliga,2014,2015-04-18 14:30:00,Hoffenheim,h,l,0,0,2,3,14,15.153846153846152,4.888888888888889
Bundesliga,2014,2015-04-25 14:30:00,Hoffenheim,a,w,3,2,1,5,8,5.074074074074074,8.631578947368421
Bundesliga,2014,2015-05-02 14:30:00,Hoffenheim,h,d,1,1,1,6,6,5.023255813953488,9.478260869565217
Bundesliga,2014,2015-05-09 14:30:00,Hoffenheim,a,l,0,1,3,7,3,4.486486486486487,8.709677419354838
Bundesliga,2014,2015-05-16 14:30:00,Hoffenheim,a,l,0,0,2,6,6,4.536585365853658,2.810810810810811
Bundesliga,2014,2015-05-23 14:30:00,Hoffenheim,h,w,3,2,1,5,2,3.793103448275862,25.157894736842103
Bundesliga,2014,2014-08-23 14:30:00,Augsburg,a,l,0,0,2,2,6,5.739130434782608,6.588235294117647
Bundesliga,2014,2014-08-29 19:30:00,Augsburg,h,l,0,2,3,2,8,9.041666666666666,13.814814814814817
Bundesliga,2014,2014-09-14 14:30:00,Augsburg,a,w,3,1,0,3,4,6.121212121212121,6.086956521739131
Bundesliga,2014,2014-09-20 14:30:00,Augsburg,h,w,3,4,2,11,4,4.67741935483871,6.875
Bundesliga,2014,2014-09-24 19:00:00,Augsburg,a,l,0,0,1,4,6,5.571428571428571,6.125
Bundesliga,2014,2014-09-28 14:30:00,Augsburg,h,w,3,1,0,3,1,3.9166666666666665,7.166666666666667
Bundesliga,2014,2014-10-05 14:30:00,Augsburg,a,l,0,0,1,5,4,9.535714285714286,9.833333333333334
Bundesliga,2014,2014-10-18 14:30:00,Augsburg,a,l,0,1,2,8,6,11.0,9.4
Bundesliga,2014,2014-10-25 14:30:00,Augsburg,h,w,3,2,0,6,2,9.548387096774194,13.833333333333334
Bundesliga,2014,2014-10-31 19:30:00,Augsburg,a,l,0,0,1,2,4,4.7560975609756095,13.047619047619047
Bundesliga,2014,2014-11-08 14:30:00,Augsburg,h,w,3,3,0,2,5,9.083333333333334,18.8
Bundesliga,2014,2014-11-23 16:30:00,Augsburg,a,w,3,1,0,5,1,5.433333333333334,10.0
Bundesliga,2014,2014-11-29 14:30:00,Augsburg,h,w,3,3,1,0,9,5.882352941176471,4.261904761904762
Bundesliga,2014,2014-12-06 14:30:00,Augsburg,a,w,3,2,1,8,4,7.478260869565218,19.19047619047619
Bundesliga,2014,2014-12-13 14:30:00,Augsburg,h,l,0,0,4,0,13,14.90625,5.652173913043479
Bundesliga,2014,2014-12-16 19:00:00,Augsburg,a,l,0,0,2,0,6,7.378378378378378,8.642857142857142
Bundesliga,2014,2014-12-20 14:30:00,Augsburg,h,w,3,2,1,7,11,15.85,13.523809523809524
Bundesliga,2014,2015-02-01 16:30:00,Augsburg,h,w,3,3,1,2,10,4.958333333333333,8.416666666666666
Bundesliga,2014,2015-02-04 19:00:00,Augsburg,a,w,3,1,0,2,16,10.608695652173912,8.787878787878787
Bundesliga,2014,2015-02-08 16:30:00,Augsburg,h,d,1,2,2,5,6,7.275862068965517,4.594594594594595
Bundesliga,2014,2015-02-14 14:30:00,Augsburg,a,l,0,2,3,1,8,5.8,5.7317073170731705
Bundesliga,2014,2015-02-21 14:30:00,Augsburg,h,d,1,2,2,10,8,3.4871794871794872,6.869565217391305
Bundesliga,2014,2015-02-28 14:30:00,Augsburg,a,l,0,0,1,2,4,8.647058823529411,11.875
Bundesliga,2014,2015-03-07 14:30:00,Augsburg,h,w,3,1,0,0,1,8.363636363636363,8.173913043478262
Bundesliga,2014,2015-03-14 14:30:00,Augsburg,h,l,0,0,2,4,6,3.425,9.161290322580646
Bundesliga,2014,2015-03-21 14:30:00,Augsburg,a,l,0,0,2,2,15,5.205882352941177,9.52
Bundesliga,2014,2015-04-05 14:30:00,Augsburg,h,d,1,0,0,4,7,4.75,5.166666666666667
Bundesliga,2014,2015-04-11 14:30:00,Augsburg,a,l,0,1,2,6,11,3.25,8.46875
Bundesliga,2014,2015-04-18 17:30:00,Augsburg,h,w,3,2,1,4,4,9.36842105263158,17.0
Bundesliga,2014,2015-04-25 14:30:00,Augsburg,a,l,0,2,3,3,5,5.888888888888889,12.074074074074074
Bundesliga,2014,2015-05-02 14:30:00,Augsburg,h,d,1,0,0,6,1,9.047619047619047,20.55555555555556
Bundesliga,2014,2015-05-09 14:30:00,Augsburg,a,w,3,1,0,5,11,23.058823529411764,4.870967741935484
Bundesliga,2014,2015-05-16 14:30:00,Augsburg,h,l,0,1,2,7,7,3.357142857142857,16.571428571428573
Bundesliga,2014,2015-05-23 14:30:00,Augsburg,a,w,3,3,1,3,7,6.868421052631579,23.0
Bundesliga,2014,2014-08-23 14:30:00,Hertha Berlin,h,d,1,2,2,3,5,5.685714285714286,9.869565217391305
Bundesliga,2014,2014-08-30 14:30:00,Hertha Berlin,a,l,0,2,4,3,8,9.375,3.9565217391304346
Bundesliga,2014,2014-09-13 14:30:00,Hertha Berlin,h,l,0,1,3,3,6,4.243902439024391,7.954545454545454
Bundesliga,2014,2014-09-19 19:30:00,Hertha Berlin,a,d,1,2,2,0,11,10.26086956521739,8.296296296296296
Bundesliga,2014,2014-09-24 19:00:00,Hertha Berlin,h,w,3,1,0,2,4,12.48,2.967741935483871
Bundesliga,2014,2014-09-28 14:30:00,Hertha Berlin,a,l,0,0,1,1,3,7.166666666666667,3.9166666666666665
Bundesliga,2014,2014-10-03 19:30:00,Hertha Berlin,h,w,3,3,2,5,8,13.227272727272728,5.933333333333334
Bundesliga,2014,2014-10-18 17:30:00,Hertha Berlin,a,l,0,0,2,4,5,7.6923076923076925,10.916666666666666
Bundesliga,2014,2014-10-25 14:30:00,Hertha Berlin,h,w,3,3,0,6,5,8.413793103448276,3.0
Bundesliga,2014,2014-11-02 16:30:00,Hertha Berlin,a,l,0,1,3,0,3,4.315789473684211,8.952380952380953
Bundesliga,2014,2014-11-07 19:30:00,Hertha Berlin,h,l,0,0,2,3,4,7.55,4.166666666666667
Bundesliga,2014,2014-11-22 17:30:00,Hertha Berlin,a,w,3,2,1,2,3,11.533333333333331,7.84
Bundesliga,2014,2014-11-29 14:30:00,Hertha Berlin,h,l,0,0,1,1,19,20.6,4.269230769230769
Bundesliga,2014,2014-12-06 14:30:00,Hertha Berlin,a,l,0,2,3,4,6,13.333333333333334,10.782608695652174
Bundesliga,2014,2014-12-13 14:30:00,Hertha Berlin,h,w,3,1,0,2,8,27.73333333333333,4.678571428571429
Bundesliga,2014,2014-12-17 19:00:00,Hertha Berlin,a,d,1,4,4,1,11,11.466666666666669,2.2432432432432434
Bundesliga,2014,2014-12-21 14:30:00,Hertha Berlin,h,l,0,0,5,6,7,6.727272727272728,4.868421052631579
Bundesliga,2014,2015-02-01 14:30:00,Hertha Berlin,a,l,0,0,2,2,7,6.928571428571429,4.409090909090909
Bundesliga,2014,2015-02-04 19:00:00,Hertha Berlin,h,l,0,0,1,0,3,7.666666666666667,6.517241379310345
Bundesliga,2014,2015-02-07 14:30:00,Hertha Berlin,a,w,3,2,0,2,9,15.523809523809524,7.045454545454546
Bundesliga,2014,2015-02-15 14:30:00,Hertha Berlin,h,l,0,0,2,3,2,4.948717948717949,10.807692307692308
Bundesliga,2014,2015-02-22 16:30:00,Hertha Berlin,a,l,0,1,2,1,6,19.2,9.476190476190476
Bundesliga,2014,2015-02-28 14:30:00,Hertha Berlin,h,w,3,1,0,4,2,11.875,8.647058823529411
Bundesliga,2014,2015-03-06 19:30:00,Hertha Berlin,a,d,1,0,0,3,3,14.846153846153848,2.473684210526316
Bundesliga,2014,2015-03-14 14:30:00,Hertha Berlin,h,d,1,2,2,3,4,12.833333333333334,4.333333333333333
Bundesliga,2014,2015-03-20 19:30:00,Hertha Berlin,a,w,3,1,0,3,6,8.363636363636363,4.088235294117647
Bundesliga,2014,2015-04-05 16:30:00,Hertha Berlin,h,w,3,2,0,4,3,8.454545454545455,11.75
Bundesliga,2014,2015-04-10 19:30:00,Hertha Berlin,a,d,1,1,1,6,2,11.846153846153848,7.85
Bundesliga,2014,2015-04-18 14:30:00,Hertha Berlin,h,d,1,0,0,8,3,17.047619047619047,23.23076923076923
Bundesliga,2014,2015-04-25 17:30:00,Hertha Berlin,a,l,0,0,1,2,8,20.0,3.625
Bundesliga,2014,2015-05-03 16:30:00,Hertha Berlin,h,l,0,1,2,2,10,12.125,6.0
Bundesliga,2014,2015-05-09 14:30:00,Hertha Berlin,a,l,0,0,2,2,5,8.451612903225806,8.368421052631579
Bundesliga,2014,2015-05-16 14:30:00,Hertha Berlin,h,d,1,0,0,3,2,6.829268292682927,4.703703703703703
Bundesliga,2014,2015-05-23 14:30:00,Hertha Berlin,a,l,0,1,2,2,5,25.157894736842103,3.793103448275862
Bundesliga,2014,2014-08-23 14:30:00,Werder Bremen,a,d,1,2,2,5,3,9.869565217391305,5.685714285714286
Bundesliga,2014,2014-08-30 14:30:00,Werder Bremen,h,d,1,1,1,5,2,4.888888888888889,4.585365853658536
Bundesliga,2014,2014-09-12 19:30:00,Werder Bremen,a,d,1,3,3,4,13,7.0,4.066666666666666
Bundesliga,2014,2014-09-20 14:30:00,Werder Bremen,a,l,0,2,4,4,11,6.875,4.67741935483871
Bundesliga,2014,2014-09-23 19:00:00,Werder Bremen,h,l,0,0,3,5,6,8.357142857142858,6.833333333333333
Bundesliga,2014,2014-09-27 17:30:00,Werder Bremen,a,l,0,1,2,5,5,10.866666666666667,4.560975609756097
Bundesliga,2014,2014-10-04 14:30:00,Werder Bremen,h,d,1,1,1,12,7,5.642857142857143,9.176470588235292
Bundesliga,2014,2014-10-18 14:30:00,Werder Bremen,a,l,0,0,6,0,16,28.8,3.633333333333333
Bundesliga,2014,2014-10-24 19:30:00,Werder Bremen,h,l,0,0,1,4,2,4.416666666666667,11.521739130434783
Bundesliga,2014,2014-11-01 14:30:00,Werder Bremen,a,w,3,2,1,2,9,9.071428571428571,4.241379310344827
Bundesliga,2014,2014-11-08 17:30:00,Werder Bremen,h,w,3,2,0,6,3,13.62962962962963,5.5
Bundesliga,2014,2014-11-23 14:30:00,Werder Bremen,a,l,0,0,2,2,6,10.357142857142858,4.0
Bundesliga,2014,2014-11-29 14:30:00,Werder Bremen,h,w,3,4,0,7,3,5.333333333333333,9.25
Bundesliga,2014,2014-12-07 16:30:00,Werder Bremen,a,l,0,2,5,7,8,7.75,4.727272727272728
Bundesliga,2014,2014-12-13 14:30:00,Werder Bremen,h,d,1,3,3,7,5,8.375,6.115384615384615
Bundesliga,2014,2014-12-17 19:00:00,Werder Bremen,a,l,0,1,4,7,8,20.045454545454547,9.379310344827584
